map,z_lo,z_hi,ell_min,ell_max,ell_effective,low_theory_cl,low_observed_cl,high_observed_cl,low_observed_over_theory,high_observed_over_theory,high_over_low_observed
summed,,,2940,2959,2949.511271186441,1.1796414083417803e-09,1.133069731005951e-09,1.0500156955662037e-09,0.9605204793537258,0.8901143077388312,0.9266999786800314
summed,,,2960,2979,2969.5111952861953,1.1690968720726164e-09,1.1157586967315001e-09,1.032969799611525e-09,0.9543765990524323,0.8835621959882926,0.9258003568670388
summed,,,2980,2999,2989.511120401338,1.1587519266767805e-09,1.1025689344007721e-09,1.0129033742428009e-09,0.9515142188914091,0.8741330658648715,0.918675778574604
summed,,,3000,3019,3009.5110465116277,1.1486011731057114e-09,1.1120601092129344e-09,1.0164273591021672e-09,0.9681864647639412,0.8849262763277889,0.9140039739592388
summed,,,3020,3039,3029.5109735973597,1.1386396271456093e-09,1.0881078682525806e-09,9.958636116830475e-10,0.9556209377503365,0.8746082500040168,0.9152250808390252
summed,,,3040,3059,3049.5109016393444,1.1288630401643129e-09,1.0724424939559053e-09,9.81141913414165e-10,0.9500200252811933,0.8691416748584079,0.9148666888375889
summed,,,3060,3079,3069.5108306188927,1.119266683157522e-09,1.0640587151009091e-09,9.707166363469033e-10,0.9506748758920728,0.8672791310185793,0.9122773232065923
summed,,,3080,3099,3089.5107605177996,1.109845792604767e-09,1.0549542826369155e-09,9.59145900012621e-10,0.9505413181420248,0.8642154670528966,0.9091824316928537
summed,,,3100,3119,3109.510691318328,1.1005957645425906e-09,1.033480524448347e-09,9.47176034689876e-10,0.9390191728366892,0.8606030162977448,0.9164914212538849
summed,,,3120,3139,3129.5106230031947,1.0915121501562033e-09,1.027806811051183e-09,9.42515333841643e-10,0.9416357031885504,0.8634950455721103,0.9170160420300106
summed,,,3140,3159,3149.5105555555556,1.082590651040326e-09,1.019774836054918e-09,9.273025777365339e-10,0.9419763925311525,0.8565588265938132,0.9093209059010315
summed,,,3160,3179,3169.5104889589907,1.0738271025084266e-09,1.015987191904045e-09,9.165741888436575e-10,0.9461366634635415,0.8535584422320583,0.9021513225239786
summed,,,3180,3199,3189.510423197492,1.0652174766969534e-09,1.0122898347182336e-09,9.164333628385275e-10,0.9503128298806748,0.8603251287992585,0.9053072859252931
summed,,,3200,3219,3209.5103582554516,1.0567578819487247e-09,1.0175864356547452e-09,9.228537549009748e-10,0.9629324304430595,0.8732877896298984,0.9069045366226638
summed,,,3220,3239,3229.510294117647,1.0484446201464966e-09,9.872259451789154e-10,8.906541058601165e-10,0.941610006106925,0.8495003825148796,0.9021785845576646
summed,,,3240,3259,3249.510230769231,1.0402745715532935e-09,9.866832166042205e-10,8.806529458368886e-10,0.9484834519514856,0.8465581779259829,0.8925386902472641
summed,,,3260,3279,3269.5101681957185,1.0322444402768028e-09,9.806875649662457e-10,8.847083331705776e-10,0.9500536178264793,0.8570725098149596,0.9021306731884873
summed,,,3280,3299,3289.510106382979,1.0243507677712652e-09,9.721977425252807e-10,8.738214825515623e-10,0.9490867514460338,0.853049082447395,0.8988104418776098
summed,,,3300,3319,3309.5100453172204,1.0165901976619196e-09,9.652600640489206e-10,8.657069789217729e-10,0.9495075461763703,0.8515791131105074,0.8968639760050177
summed,,,3320,3339,3329.509984984985,1.0089594740366934e-09,9.565104488966082e-10,8.630133100314814e-10,0.948016717727775,0.8553498254778227,0.902251837423228
summed,,,3340,3359,3349.509925373134,1.001455448249362e-09,9.341086728556256e-10,8.387948608914084e-10,0.9327511018972788,0.8375758126411919,0.897962823026964
summed,,,3360,3379,3369.5098664688426,9.94075063650155e-10,9.347404918980153e-10,8.34157325464252e-10,0.940311779339612,0.8391291120424053,0.8923945551673637
summed,,,3380,3399,3389.509808259587,9.868153566032857e-10,9.292362146164809e-10,8.329271378190359e-10,0.9416515545674139,0.8440557113805484,0.8963567333229752
summed,,,3400,3419,3409.509750733138,9.796734519956277e-10,9.146999401017746e-10,8.183213873261051e-10,0.9336783988976125,0.8353001560460345,0.8946336951055819
