segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
1,89.86944444444444,8.865696878473448e-06,8.850074019235512e-06,6.469704752260722e-06,6.312163336600812e-06,1.4004796097904025e-06,1.1942540849038187e-06,2.709324522725911e-08
1,109.80227272727272,6.932478330718289e-06,6.986193984767182e-06,5.029802772291273e-06,4.963004059457966e-06,1.1369488993900787e-06,9.513381939428359e-07,9.266376025944195e-10
1,129.75576923076923,5.6107597345717536e-06,5.73108688525427e-06,4.079146993767249e-06,4.055142766507077e-06,9.651391170106379e-07,7.886394917893586e-07,-2.674610007996614e-10
1,149.72166666666666,4.802789577234843e-06,4.929236525890556e-06,3.4992293810555553e-06,3.4749979458958528e-06,8.640408897815261e-07,6.854087114527836e-07,1.877432865182805e-08
1,169.6955882352941,4.075594611598071e-06,4.178731742370031e-06,2.96816984075221e-06,2.9319689266557723e-06,7.674243202707174e-07,5.890989857663998e-07,6.734664944284069e-09
1,189.675,3.3847392816199697e-06,3.52215319486754e-06,2.4869396430012707e-06,2.457460342946657e-06,6.805888444638527e-07,5.054866227402744e-07,-1.0895088007156865e-08
1,209.65833333333333,2.9330737926201566e-06,3.0694940557697723e-06,2.1732688988666194e-06,2.130644637291238e-06,6.266961910616319e-07,4.4880657905458835e-07,-1.0355917866823294e-09
1,229.64456521739132,2.5853158822759285e-06,2.723502092503526e-06,1.8974469846483057e-06,1.8808459319450661e-06,5.705042983328933e-07,4.0620271249935447e-07,1.0997520835637353e-08
1,249.633,2.2630250424632734e-06,2.3985340924332578e-06,1.6782799568150306e-06,1.646384202761596e-06,5.290458503152648e-07,3.665532527693952e-07,-5.854327871365544e-10
1,269.6231481481482,1.982389940990049e-06,2.120936215041541e-06,1.4811490623403266e-06,1.4464249804324353e-06,4.94950838716245e-07,3.333282210793661e-07,-8.754315228322444e-09
1,289.6146551724138,1.7647901302009958e-06,1.9064180180982988e-06,1.328199970185936e-06,1.292132797096355e-06,4.661162802145746e-07,3.084945796459898e-07,6.162692528666833e-11
1,309.60725806451615,1.5793172693766867e-06,1.7259030493972803e-06,1.191956612171472e-06,1.1624220836548463e-06,4.410193698531952e-07,2.882135788866467e-07,4.800943645898016e-09
1,329.6007575757576,1.4330369677944195e-06,1.5623265318400261e-06,1.0882509170190158e-06,1.0450534623954895e-06,4.199850534734387e-07,2.7027304355233915e-07,-2.276655639138493e-09
1,349.595,1.283987367793997e-06,1.4208850697920986e-06,9.768905465590804e-07,9.437777848568466e-07,3.9893479756049184e-07,2.55333843286623e-07,-4.802285346417227e-09
1,369.58986486486486,1.1690648146015994e-06,1.3014986759733403e-06,8.909926532301263e-07,8.584756319208873e-07,3.806239335612354e-07,2.433472003601868e-07,-2.1347432042466664e-10
1,389.5852564102564,1.070526912036197e-06,1.1967037087941195e-06,8.244027903413801e-07,7.83746589478021e-07,3.6703510461074973e-07,2.3331999691599023e-07,1.3625478254988089e-09
1,409.5810975609756,9.750334671642663e-07,1.1027922235789361e-06,7.476602786310482e-07,7.169264129456795e-07,3.505137217718808e-07,2.2475810420458415e-07,-1.9913101307572175e-09
1,429.57732558139537,8.989374687480373e-07,1.0195954956151367e-06,6.881103665783112e-07,6.5788437129802e-07,3.374670231583351e-07,2.176214417224879e-07,-2.718404172683546e-09
1,449.5738888888889,8.260176565167345e-07,9.462244409305769e-07,6.392845638663103e-07,6.059587032597696e-07,3.293559422790233e-07,2.1177281463405068e-07,-5.46541030544788e-10
1,469.5707446808511,7.659560094547751e-07,8.805705762559793e-07,5.959737033826267e-07,5.596198193667858e-07,3.193867263445986e-07,2.0692130991977636e-07,-1.3347224275817774e-10
1,489.5678571428571,7.076251844286119e-07,8.211942482707035e-07,5.521499655919579e-07,5.178290249129881e-07,3.110298963072697e-07,2.0286687373544393e-07,-1.4497506226334742e-09
1,509.56519607843137,6.605639562634242e-07,7.675610237761781e-07,5.163864919939101e-07,4.80194591627703e-07,3.0224633448922414e-07,1.9952584773777582e-07,-1.6125021225931973e-09
1,529.5627358490566,6.130738403787851e-07,7.190909195010915e-07,4.814920861277012e-07,4.4628884016086896e-07,2.96904345806496e-07,1.9680857225756465e-07,-7.897169068174012e-10
1,549.5604545454545,5.734420622461922e-07,6.750625626755753e-07,4.501040643165252e-07,4.1558684891510235e-07,2.90196989609273e-07,1.9460964287531606e-07,-6.887034707316848e-10
1,569.5583333333333,5.36968369456081e-07,6.348829171440459e-07,4.19745439902889e-07,3.876574829141984e-07,2.8183604465643575e-07,1.928424200672707e-07,-1.08028882002749e-09
1,589.5563559322034,5.04118392231349e-07,5.981036370284606e-07,3.94109611790009e-07,3.621738974535251e-07,2.770648373651388e-07,1.9143903257229837e-07,-1.0425267028952336e-09
1,609.5545081967213,4.7294436011706994e-07,5.644019769491894e-07,3.7034110735845255e-07,3.3889825249255057e-07,2.7231683549957394e-07,1.9034693642051455e-07,-7.932015225676211e-10
1,629.5527777777778,4.4536273171866057e-07,5.333897262157422e-07,3.47613653965436e-07,3.1754757725855705e-07,2.664179016236278e-07,1.8951029970294892e-07,-7.92823816387735e-10
1,649.5511538461539,4.194519478404067e-07,5.047382992353426e-07,3.2574072240546147e-07,2.978844696363021e-07,2.6099614525546134e-07,1.8888311622982098e-07,-8.24566340421693e-10
