zbin,massbin,n_sample,lower,upper,count,expected,sigma,ratio,pull
2,0,47449,1.04,1.08,3071,3040.5341848900916,53.310701624819835,1.0100198890251944,0.57147653625561
2,0,47449,1.08,1.12,1040,975.4911109801219,30.905127002465832,1.0661296533548759,2.087319978161912
2,0,47449,1.12,1.16,236,216.68456679117534,14.686101134430416,1.08914078881972,1.3152185887880845
2,0,47449,1.16,1.2,27,36.83524894465847,6.066772188242303,0.7329935530112742,-1.6211666829553373
2,0,47449,1.2,1.24,5,6.015668537968761,2.4525163886107104,0.831162815644143,-0.4141332317636874
2,0,47449,1.24,1.28,0,1.1790340634617218,1.0858175400653864,0.0,-1.0858491596946591
2,0,47449,1.28,1.32,0,0.2611366599498606,0.5110135684868276,0.0,-0.51101707675418
2,0,47449,1.32,1.3599999999999999,0,0.05604806220040348,0.23674453400555692,0.0,-0.23674490494926445
2,0,47449,1.3599999999999999,1.4,0,0.01095713961009237,0.10467633934447296,0.0,-0.10467637365531278
2,1,28547,0.2,0.24000000000000002,0,0.0022758644560116597,0.04770601073076235,0.0,-0.04770603161215721
2,1,28547,0.24000000000000002,0.28,0,0.011199847451085848,0.10582923467704405,0.0,-0.1058294287515552
2,1,28547,0.28,0.32,0,0.050010179649678244,0.2236287803815911,0.0,-0.22363033758151746
2,1,28547,0.32,0.36,2,0.20254995101129908,0.45005009818476177,9.874107547369546,3.9938888053542496
2,1,28547,0.36,0.4,0,0.7436337585123016,0.8623096150723181,0.0,-0.8623744250491007
2,1,28547,0.4,0.44,3,2.4724511028450227,1.5722344780702788,1.2133708110740522,0.3355408525339538
2,1,28547,0.44,0.48000000000000004,7,7.435010821393326,2.7259618446857385,0.9414915684935339,-0.15958067140278553
2,1,28547,0.48000000000000004,0.52,17,20.189354980993294,4.490284428881622,0.8420278912329877,-0.7102790550369777
2,1,28547,0.52,0.56,47,49.410834140030964,7.019202601063274,0.9512083901842534,-0.3434626804568612
2,1,28547,0.56,0.6000000000000001,124,108.7531500910926,10.398873403615013,1.140196857710664,1.4662020891231402
2,1,28547,0.6000000000000001,0.64,205,214.7604446103546,14.579640130377728,0.9545519444790533,-0.6694571692491922
2,1,28547,0.64,0.6799999999999999,372,379.5631583231453,19.318584322776665,0.9800740452351641,-0.3914965091012538
2,1,28547,0.6799999999999999,0.72,650,599.1130071227672,24.170312069723455,1.0849372193096207,2.1053510906454367
2,1,28547,0.72,0.76,827,845.6515434360244,28.588135492590723,0.9779441738375595,-0.6524225212539103
2,1,28547,0.76,0.8,1073,1089.402100306487,32.31163796723344,0.9849439428271044,-0.5076220624630676
2,1,28547,0.8,0.8400000000000001,1379,1395.9118321809644,36.39168603396193,0.9878847418647198,-0.4647169181769087
2,1,28547,0.8400000000000001,0.8800000000000001,2194,2074.7635458903887,43.829740775606965,1.0574699002909465,2.7204462540643455
2,1,28547,0.8800000000000001,0.9199999999999999,3550,3505.3426749528617,55.40942980413331,1.0127397887134497,0.8059517162511404
2,1,28547,0.9199999999999999,0.96,5255,5256.95345480355,65.45122788005013,0.9996284055355741,-0.02984596113505956
2,1,28547,0.96,1.0,5731,5779.919088330677,67.79046698582543,0.991536371429586,-0.7216219404552272
2,1,28547,1.0,1.04,4276,4290.497047406294,60.23057172673961,0.9966211263529344,-0.24069250864935482
2,1,28547,1.04,1.08,1985,2088.001382032707,43.9255334420103,0.9506698688425036,-2.344909075917945
2,1,28547,1.08,1.12,675,665.6463347225847,25.48675599307889,1.0140520044796966,0.36700101338731994
2,1,28547,1.12,1.16,140,143.87990170608273,11.96382178202514,0.9730337478683535,-0.3243028671583885
2,1,28547,1.16,1.2,31,23.612298721790264,4.857133092063301,1.3128751404196028,1.5210003798910634
2,1,28547,1.2,1.24,2,3.779300539797352,1.9438941550486826,0.5291984532426842,-0.9153278923012098
2,1,28547,1.24,1.28,2,0.733694102466488,0.8565451198937638,2.725931683621992,1.4783878491895095
2,1,28547,1.28,1.32,0,0.15833992518286488,0.39791793367867034,0.0,-0.3979210580408993
2,1,28547,1.32,1.3599999999999999,0,0.03261407457985188,0.18059351685868866,0.0,-0.18059382832314982
2,1,28547,1.3599999999999999,1.4,0,0.006074152369444974,0.07793683519229683,0.0,-0.07793686200444197
