zbin,magnitude_lower,magnitude_upper,colour_lower,colour_upper,count,n_magnitude_bin,mean_measured,mean_expected,sigma_mean
0,-22.7,-22.6,0.32,0.36,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.36,0.4,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.4,0.44,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.44,0.48000000000000004,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.48000000000000004,0.52,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.52,0.56,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.56,0.6000000000000001,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.6000000000000001,0.64,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.64,0.6799999999999999,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.6799999999999999,0.72,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.72,0.76,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.76,0.8,1,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.8,0.8400000000000001,2,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.8400000000000001,0.8800000000000001,3,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.8800000000000001,0.9199999999999999,8,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.9199999999999999,0.96,10,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,0.96,1.0,19,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.0,1.04,19,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.04,1.08,10,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.08,1.12,5,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.12,1.16,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
0,-22.7,-22.6,1.16,1.2,0,77,0.981820198105315,0.9837615753734085,0.008147265468193485
