zbin,massbin,lower,upper,n_available,n_data,n_random,w_theta,jackknife_sigma,dd,dr,rr,null_reference
2,1,0.11742394140976554,0.17235477520255066,28547,10000,30000,0.573198672435462,0.056546558240877405,6.260626062606261e-06,4.016666666666667e-06,4.153471782392747e-06,0.0
2,1,0.17235477520255066,0.25298221281347033,28547,10000,30000,0.5141516080290008,0.06646670903207309,1.3921392139213922e-05,9.123333333333333e-06,8.90251897285465e-06,0.0
2,1,0.25298221281347033,0.37132710668902225,28547,10000,30000,0.35765516148459425,0.05165442195891022,2.606260626062606e-05,1.941e-05,1.98606620220674e-05,0.0
2,1,0.37132710668902225,0.5450336552463688,28547,10000,30000,0.30107727239468973,0.028101401133049358,5.3985398539853983e-05,4.153e-05,4.159916441659166e-05,0.0
2,1,0.5450336552463688,0.7999999999999999,28547,10000,30000,0.15701498366978264,0.01908806172330903,0.00010441044104410441,8.987666666666667e-05,8.937631254375147e-05,0.0
2,1,0.7999999999999999,1.174239414097655,28547,10000,30000,0.11263935767437096,0.014298767073134686,0.00021416141614161415,0.00019251666666666667,0.00019256197428803182,0.0
2,1,1.174239414097655,1.7235477520255065,28547,10000,30000,0.06545084669865148,0.010428878755586036,0.0004408440844084408,0.00041453333333333334,0.0004154116248319388,0.0
2,1,1.7235477520255065,2.529822128134703,28547,10000,30000,0.024052372475663976,0.012532096496247163,0.0009127312731273127,0.0008888766666666667,0.0008863406557996378,0.0
2,1,2.529822128134703,3.7132710668902216,28547,10000,30000,0.0016208888776712389,0.006435631554345144,0.0019196319631963196,0.0019041,0.0018916341655832972,0.0
2,1,3.7132710668902216,5.450336552463689,28547,10000,30000,0.0005512332638388106,0.004585993492488759,0.0040263826382638266,0.00402274,0.00402131404380146,0.0
2,1,5.450336552463689,8.0,28547,10000,30000,0.0014592133522253789,0.0036877774085018124,0.00850965096509651,0.008491576666666667,0.008485885085058391,0.0
2,2,0.08,0.11742394140976554,2463,2463,7389,31.903636965024695,4.819985600491992,6.728336488065613e-05,1.373693775194574e-06,2.0882971607291982e-06,0.0
2,2,0.11742394140976554,0.17235477520255066,2463,2463,7389,7.055512716358946,2.488864375547846,3.298204160816477e-05,3.956238072560374e-06,4.139957529164902e-06,0.0
